actor,año_nacimiento,que_hace,conocido_por,lista premios
Joe Estevez,1946.0,"['Reparto', 'Producción', 'Equipos adicionales']","['Return of the Roller Blade Seven (1993)', 'Eyes Upon Waking (2022)']","['The Indie Gathering International Film Festival', 'Culver City Film Festival', 'Dreamachine International Film Festival', 'Cannes World Film Festival']"
Milan Z. Djukic,,['Reparto'],[],
Anastasia Antonia,1987.0,"['Reparto', 'Dirección', 'Guion']","['Quantum Leap (2022)', 'The Affair (2014)']",['Idyllwild International Festival of Cinema']
Jon Favreau,1966.0,"['Producción', 'Reparto', 'Guion']","['Chef (2014)', 'Swingers (1996)', 'Iron Man (2008)']","['Academy of Science Fiction, Fantasy & Horror Films, USA', 'Cinema Audio Society, USA', 'Florida Film Critics Circle Awards', 'Hollywood Film Awards', 'Hollywood Makeup Artist and Hair Stylist Guild Awards', 'Walk of Fame', 'Visual Effects Society Awards', 'Tribeca Film Festival', 'CinEuphoria Awards', 'Online Film & Television Association', 'Dragon Awards', 'Monaco Streaming Film Festival']"
Michelle Rodriquez,,['Reparto'],[],
Hernán Piquín,,['Producción'],[],
Víkingur Kristjánsson,1972.0,"['Reparto', 'Producción', 'Guion']","['Foreldrar (2007)', 'Vegferð (2021)', 'Bakk (2015)']","['Edda Awards, Iceland']"
Mallika,1976.0,['Reparto'],"['Murder (2004)', 'Hisss (2010)', 'El mito (2005)']","['Gotham Screen International Film Festival Awards', 'Annual Kalakar Awards']"
Layla Mohammadi,,['Reparto'],[],[]
Bimla Thapa,,['Reparto'],[],
Eric Trigg,,['Dirección de la segunda unidad o asistencia a dirección'],[],
Gábor Viola,1975.0,['Reparto'],"['Tabló (2008)', 'Határontúl (2004)', 'Turisti (1998)']",
Brigette Davidovici-Dean,,"['Reparto', 'Banda sonora']","['Californication (2007)', 'Desaparecida (2013)']",
Kate Atkinson,,['Reparto'],"['Prisión Wentworth (2013)', 'SeaChange (1998)', 'Japanese Story (2003)']",[]
Takla Chamoun,,"['Reparto', 'Producción']",[],"['The Lebanese Movie Awards', ""Murex D'Or""]"
Surya Suresh,,['Reparto'],[],
Andrew Ilitchev,1978.0,"['Guion', 'Producción', 'Equipos adicionales']",['American Pipedream (2005)'],
Teddy Dunn,1980.0,"['Reparto', 'Banda sonora']","['Jumper (2008)', 'Veronica Mars (2004)', 'El mensajero del miedo (2004)']",[]
Ivana Schiaffino,,"['Reparto', 'Equipos adicionales']",[],
Alejandro Fiore,1969.0,"['Reparto', 'Guion', 'Producción']","['Dromo (2009)', 'Poliladron (1994)', 'Los simuladores (2002)']",[]
Razia Israeli,,"['Reparto', 'Sonido']","['La lista de Schindler (1993)', 'Tahara (2002)', 'Bekarov Yikre Lekha Mashehu Tov (2006)']",[]
Nicolas Nollet,,['Reparto'],[],
Narisra Yos-Sombut,,['Reparto'],[],
Gert Wastyn,,"['Animación', 'Dirección', 'Reparto']",[],
Manupalya,,['Reparto'],[],
