puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
4.8,John Roecker,John Roecker,"In a distant future, a cult forms around the Manson Family, when Charles Manson is mistaken for the messiah. Meanwhile, in 1969, Manson convinces his followers to murder Sharon Tate.",75,Comedia,live freaky die freaky,2006
2.1,Donna Wheeler,Donna Wheeler,"Top-ranking RubberTubber saleswoman Agatha J. Ruby was brutally beaten and shot on her morning jog by an unknown assailant. Over six thousand dollars worth of her best plastic storage ware was stolen from her trunk. Nearly all 200 residents in her hometown of Mametville, Washington knew her personally. All were named as suspects. See if you can figure out her killer.",77,Comedia,death of a saleswoman,2006
5.2,Leslie Greif,"['Harry Basil', 'Leslie Greif', 'Ray Cooney']","When Henry Perkins accidentally trades his briefcase with a man, he finds a million dollars inside. However, the cash draws in Mr. Big, who wants to reclaim his money.",98,Comedia,funny money,2006
4.3,Michelle Danner,Richard Vetere,"A self-proclaimed dating expert tries to get his best friend, who lost his wife two years earlier, back into the dating scene, with disastrous results.",90,Comedia,how to go out on a date in queens,2006
5.2,Sheri Hellard,Robin Mackenzie,"Follows a day in the lives of three generations of women. Priscilla, her mother (Nana), and her daughter, Wendy, spend the day sipping gin, arguing and being chased by a police officer. Priscilla has a lump in her breast which may or may not be cancerous. Her husband is distracted and unappreciative. She is depressed, an unseen artist, whose mother is always nagging h... Leer todo",90,Comedia,mothers and daughters,2006
4.3,William Tannen,"['Michael Lach', ""Lori O'Brien"", 'Kyle Southam']","Ozzie (Steven Kynman) is a young koala living in Australia. He is kidnapped by two goons, Buzz Maroni (Peter Rowley) and Tank Emerson (Ralf Moeller), who work for Max Happy (Dame Joan Collins), President of Happy Toys. Legend says that Ozzie speaks English and Max wants to clone Ozzie into hundreds of koalas and sell them for a fortune as talking pets. Buzz and Tank ""... Leer todo",90,Comedia,ozzie,2006
7.3,Jirí Menzel,"['Bohumil Hrabal', 'Jirí Menzel']",A look at the glamorous life at an old-world Prague hotel.,113,Comedia,obsluhoval jsem anglického krále,2006
-,"['Justin Alexandre', 'Jason De', 'Paris']",Justin Alexandre,Amy Davidson goes through a crazy 24 hours just before her high school graduation.,-,Comedia,the worst day ever,2006
5.9,Christopher Nielsen,"['Christopher Nielsen', 'Simon Pegg']","Four stoners, five vegans, three mobsters, four hunters, and a million reasons to free one junkie elephant.",86,Comedia,free jimmy,2006
5.3,Neal Miller,"['Neal Miller', 'Nancy Miller', 'Dorothy Velasco']",A comedy centered on a handyman (Arkin) and his lifelong competition with his neighbor (Pendleton).,103,Comedia,raising flagg,2006
4.5,"['Paul Bolger', 'Yvette Kaplan', 'Greg Tiernan']","['Robert Moreland', 'Doug Langdale', 'Andre Sikojev']","An alliance of evil-doers, led by Frieda, looks to take over Fairy Tale Land. But when Ella realizes her stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",75,Comedia,happily n'ever after,2006
5.9,Joey Travolta,"['Nick Felix', 'Larry N. Stouffer']",A murdered father returns as a spirit to help his son save his family.,95,Comedia,waitin' to live,2006
7.2,"['John Lasseter', 'Joe Ranft']","['John Lasseter', 'Joe Ranft', 'Jorgen Klubien']",-,117,Comedia,cars,2006
4.9,Stephen Pidgeon,"['Stephen Pidgeon', 'Phil Lott', 'Kevin Markwick']",Four British buddies agree to arrange a home-alone party as the ultimate solution to their problems with the opposite sex.,89,Comedia,neil's party,2006
6.7,"['Tim Johnson', 'Karey Kirkpatrick']","['Len Blum', 'Lorne Cameron', 'David Hoselton']",-,83,Comedia,over the hedge,2006
3.8,Christopher Coppola,Adrienne Stout,"A dark secret is held by a small desert town. When two men arrive to receive a mysterious inheritance, they discover not only more about their pasts but their present ties to an ancient prophecy. Will they be able to put aside their own differences before the mysterious creature killing residents comes after them too?",105,Comedia,the creature of the sunny side up trailer park,2006
6.0,José Emílio Rondeau,"['Ana Maria Bahiana', 'Ana Maria Bahiana', 'José Emílio Rondeau']","Two teenagers from opposite sides of town, with very little in common except for their passion for music meet in 1970's Rio de Janeiro, at the height of the military dictatorship _ and of Brazil's booming underground rock scene.",100,Comedia,1972,2006
4.6,Nicholas Kendall,Charles Dennis,"Grieving young Will Donnelly (Max Morrow) looks to protect his new best friend, a talking goose, from school Principal Congreve Maddox (Chevy Chase), who's fattening up the bird for a Christmas cook-off.",87,Comedia,goose on the loose,2006
6.1,Diego de la Texera,"['Regiana Antonini', 'Marcos Bernstein', 'Diego de la Texera']","In the early 1960's, a group of people responsible for the construction of the Brasilia-Fortaleza road is abandoned in the middle of the jungle by the Brazilian government, after the military coup.",117,Comedia,meteoro,2006
6.0,Luc Besson,"['Céline Garcia', 'Luc Besson', 'Patrice Garcia']",-,94,Comedia,arthur en de minimoys,2006
6.0,Arthur Springer,Carol Springer,-,85,Comedia,life on mars,2006
7.2,Michel Gondry,Michel Gondry,-,105,Comedia,the science of sleep,2006
6.1,Otto Guerra,"['Angeli', 'Rodrigo John']","The story of two die-hard hippies, trying to live on today's world.",81,Comedia,"wood & stock: sexo, orégano e rock'n'roll",2006
3.9,"['Jason A. Carbone', 'Mike Fleiss']",-,"5 college guys head to a resort in Cabo to do what college guys do during spring break in Mexico, filming it reality show style. Will the remaining virgin manage to lose his virginity before returning to the US?",80,Comedia,the quest,2006
5.7,Mitchell Altieri,Mitchell Altieri,"The fear of becoming 30, love, friendship: a writer's coming of age into his thirties. His world is filled with early morning beer drinking, dingoes, dysfunctional roommates, disapproving ex-girlfriends, unconditional male bonding, a sad 30-year-old party, and of course, strippers.",87,Comedia,lurking in suburbia,2006
4.6,Michael Stein,Michael Stein,"Four intertwining stories filled with fantasy, over the top comedy and drama set in the entertainment industry on Valentine's day",89,Comedia,love hollywood style,2006
5.1,David Zucker,"['Craig Mazin', 'Jim Abrahams', 'Pat Proft']",-,83,Comedia,scary movie 4,2006
6.8,Liam Lynch,"['Jack Black', 'Kyle Gass', 'Liam Lynch']",-,94,Comedia,tenacious d in the pick of destiny,2006
6.3,Terry Zwigoff,Daniel Clowes,"Starting from childhood attempts at illustration, the protagonist pursues his true obsession to art school. But as he learns how the art world really works, he finds that he must adapt his vision to the reality that confronts him.",102,Comedia,art school confidential,2006
6.4,John Cameron Mitchell,John Cameron Mitchell,-,101,Comedia,shortbus,2006
6.4,"['George Miller', 'Warren Coleman', 'Judy Morris']","['George Miller', 'John Collee', 'Judy Morris']",-,108,Comedia,happy feet,2006
7.1,Fel Angel,Fel Angel,-,90,Comedia,superhero excelsior,2006
7.8,Horacio Muschietti,"['Horacio Muschietti', 'Marcelo Muschietti']",On his wedding day a young man falls in love with his friend's daughter. The film portrays the conflict that arouses after the pressure that both family and friends have exercised over the young man.,85,Comedia,mi fiesta de casamiento,2006
6.0,"['Stefan Fjeldmark', 'Jesper Møller', 'Joanna Wizmur']","['René Goscinny', 'Albert Uderzo', 'Jean-Luc Goossens']",-,78,Comedia,astérix et les vikings,2006
6.6,John E. Hudgens,Sandy Clark,"American Scary is a look at the nation's tradition of horror hosting, from Ghoulardi to Ghoul-A-Go-Go. Follow this American folk art form from its glamorous beginnings, through repeated waves of popularity, to its scrappy resurgence and survival in the age of cable access and the Internet.",91,Comedia,american scary,2006
5.7,Sue Kramer,Sue Kramer,"Gray and Sam are brother and sister, best friends, and flatmates in New York City, where she creates ad campaigns and he's a surgery intern. Their social life is too insular, so they head to a dog park so Sam can, maybe, meet a woman. He does: Charlie, a zoologist new in the city; he likes her immediately, and the feeling seems mutual. As the three of them spend time ... Leer todo",96,Comedia,gray matters,2006
5.4,Paul Francis Sullivan,"['Paul Francis Sullivan', 'Sean Mc', 'Pharlin', 'Ted Sullivan']","Late-night radio host Dale Sweeney's usual line up of odd-ball, conspiracy-obsessed callers is interrupted by a panicked phone call in an indecipherable language. When FBI agents arrive investigating the call, Dale enlists his friends help to uncover what he hopes is the amazing identity of this first time caller.",82,Comedia,i'll believe you,2006
5.8,Shira-Lee Shalit,Damon Shalit,"Darren goes to Hollywood in an attempt to live the American dream of becoming a big-name actor. When Darren is mistaken for Dante, the A-List actor in town, his world is thrown upside down - and he gets his wish, for better or for worse.",98,Comedia,a-list,2006
4.6,Daniel Mellitz,Daniel Mellitz,The Naked Ape is a coming-of-age film following three teenagers on a road trip across the Pacific Southwest.,-,Comedia,the naked ape,2006
4.4,Vincent Rocca,"['Vincent Rocca', 'Michael Hutchinson']","Jen and Tara arrange a threesome to win Jen's ex-boyfriend back, and yet he wants to be just friends. Through the antics of offbeat characters at the billiards where they all work, he realizes Jen is his dream girl, but is it too late?",81,Comedia,kisses and caroms,2006
5.3,Chris Cook,Chris Cook,"Lee, a soccer player who descends into depression when he goes blind, is encouraged to take up the game again by a maverick American and the inspiration of Leeds Utd legend, Billy Bremner.",90,Comedia,the penalty king,2006
6.5,Matthew O'Callaghan,"['Ken Kaufman', 'Mike Werb', 'Margret Rey']",-,87,Comedia,curious george,2006
5.7,Shawn Levy,"['Len Blum', 'Steve Martin', 'Michael Saltzman']",-,93,Comedia,the pink panther,2006
5.3,Kyle Bergersen,Kyle Bergersen,A young man is hired as the executioner at a prison where his brother sits on death row. Things get more surreal when he falls in love with his brother's ex-girlfriend -- who's imprisoned herself.,89,Comedia,love comes to the executioner,2006
4.4,Peter Hewitt,"['Adam Rifkin', 'David Berenbaum', 'Jason Lethcoe']",-,93,Comedia,zoom,2006
6.4,Steve Pink,"['Mark Perez', 'Adam Cooper', 'Bill Collage']",-,93,Comedia,accepted,2006
7.5,Gábor Szöllõskei,"['Gergely Molnár', 'Gábor Szöllõskei']","A daily newspaper is in a huge crisis. Keszeg, the editor in chief charges his best journalist, Rezso to find a recently kidnapped accountant, who worked for the local mob before. Keszeg expects that this guy can debunk many famous politician very easily. Andras is a bung and alcoholic character, but he's the only one who can help Rezso on his desperate search. Rezso ... Leer todo",-,Comedia,sajtóvadászat,2006
6.6,Gil Kenan,"['Dan Harmon', 'Rob Schrab', 'Pamela Pettler']",-,91,Comedia,monster house,2006
6.5,Mike Judge,"['Mike Judge', 'Etan Cohen']",-,84,Comedia,idiocracy,2006
4.7,Laurent Firode,Joan Carr-Wiggin,A young carpenter is mistaken for a Catholic priest and sustains the misunderstanding to seduce a girl.,94,Comedia,my first wedding,2006
5.9,Aleksi Mäkelä,Marko Leino,"A ski jumper descends from winning 4 Olympic Gold Medals, to serving two years for stabbing a relative. Careers as a stripper and singer, plus five marriages, replete with allegations of domestic violence are fictionalized sympathetically in this dramedy. Alleged exploitation/manipulation of Matti, due to his naivety and gullibility, along with deterioration of his sk... Leer todo",135,Comedia,matti,2006
