,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
"109,2.5,Jean-Louis Daniel,""['Jean-Louis Daniel', 'Mariusz Pujszo', 'Rick Richardson']"",Supermodel Everhart is kidnapped by bad guy Prochnow and rescued by good guy Otto in technopop action.,97,gunblast vodka,2000";;;;;
"110,6.0,Jeff Stolhand,""['Marie Black', 'Cameron Johnson', 'Ryan Wickerham']"",The owner of a small alternative bookstore fends off her scheming fiance and real estate developers.,90,what i like about you,2000";;;;;
"111,7.3,Rémi Lange,""['Rémi Lange', 'Antoine Parlebas']"",Antoine and Rémi have been living together for over three years. Rémi films their life using a Super 8 camera.,85,les yeux brouillés,2000";;;;;
112,6.5,Gérard Krawczyk,Luc Besson,-,88,taxi 2,2000;;;;;
"113,5.5,Matthias X. Oberg,""['Tim Dabringhaus', 'Matthias X. Oberg']"",""Black comedy feature about a young undertaker, starting his own firm in a seaside resort."",91,undertaker's paradise,2000";;;;;
"114,6.6,Tom Dey,""['Miles Millar', 'Alfred Gough']"",-,110,shanghai noon,2000";;;;;
"115,2.6,Oscar Vega,""['Ramón Aguilera', 'Oscar Vega']"",""Clara lives in a world ruled by TV, which she cannot enjoy as she is half blind. But with her imagination she is able to enter the magical world of Raluy, the last circus on earth, which an evil TV tycoon is eager to destroy..."",76,""raluy, una noche en el circo"",2000";;;;;
"116,5.2,Chris Koch,""['Will Mc', 'Robb', 'Chris Viscardi']"",-,89,snow day,2000";;;;;
"117,5.3,Steven Brill,""['Tim Herlihy', 'Adam Sandler', 'Steven Brill']"",-,90,little nicky,2000";;;;;
"118,6.8,Per Åhlin,""['Hans Åke Gabrielsson', 'Per Åhlin']"",""On their way to find Paris, Sture the dog (Hasse Alfredsson) and his friend Picasso end up on a hotel in the middle of nowhere. Along with Miss Mops, Sture tries to sniff out who is causing all the strange events of the hotel."",68,hundhotellet,2000";;;;;
"119,5.0,""['Robert Bauer', 'Paul Gordon']"",-,Two friends experiment with drugs and end up stranded at a local store with some bizarre patrons.,92,dirk and betty,2000";;;;;
"120,5.7,Mika Kaurismäki,""['Paul Charles Bailly', 'Mika Kaurismäki']"",The mechanic Jack tries to get rid of his criminal background.,90,highway society,2000";;;;;
"121,5.0,Kris Isacsson,Kris Isacsson,""College students Al and Imogen meet and fall in love, but fear of commitment causes them to go their separate ways."",91,down to you,2000";;;;;
"122,7.2,Curtis Hanson,""['Michael Chabon', 'Steve Kloves']"",-,107,wonder boys,2000";;;;;
"123,5.7,Nick Gomez,Peter Steinfeld,""When a woman drives a car into the river to her death, everyone in town becomes a suspect."",96,drowning mona,2000";;;;;
"124,5.8,Matthew Huffman,""['Marni Freedman', 'Carlos De Los Rios']"",-,97,playing mona lisa,2000";;;;;
125,5.3,James Merendino,James Merendino,A con-man and a wannabe professional magician team up with a waitress and an old professional on their way to Vegas.,108,magicians,2000;;;;;
"126,4.4,Kimble Rendall,""['Dave Warner', 'Mark Lamprell']"",""A killer begins to stalk the actors of a low budget horror film, killing them off one by one."",82,cut,2000";;;;;
"127,6.2,Virgil Widrich,""['Enrico Jakob', 'Virgil Widrich']"",-,88,heller als der mond,2000";;;;;
