INDICE,puntuacion,direccion,guionista,descripcion,mes_estreno,titulo,anio
195,-,Bruno Autran,Bruno Autran,A VISUAL AND SOUND POEM ABOUT A MAN AND HIS TIME. A MAN IN THE TIME. TIME FROM THE MAN.,3,deja vu,2015
196,-,Carlos Macagi,Carlos Macagi,-,-,hidrofobia,2015
197,-,Julien Arnal,-,-,6,dans ton regard,2015
198,-,Jasmina Cibic,-,"A Nation Builder, a Pragmatist, a Conservationist and an Artist/Architect become a reflection of ideological deliberation facing a practical scruple.",15,tear down and rebuild,2015
199,-,Luis GirardeÁureo Rosa,-,-,5,atenção: isto pode ser um poema,2015
200,-,Violeta Birla,Violeta Birla,-,-,la perla,2015
201,-,Melanie Clarke-Penella,-,-,-,stand for it,2015
202,-,Diep Hoang Nguyen,Diep Hoang Nguyen,"In a near-future, humanity finds itself devouring the world and themselves into extinction.",13,"ai con song, gio tay len!",2015
203,-,Amaan Hassen,Amaan Hassen,-,-,harvest,2015
204,-,Alexandre Bertella Rodrigues,Alexandre Bertella Rodrigues,-,-,o almoço,2015
205,-,Omar Belkacemi,Omar Belkacemi,"Redouane, an Algerian journalist and writer living in Europe, decides to go back to his native country in order to write on several cases of suicides which were the result of the great number of dismissals of many workers during the 1990's.",37,lmuja,2015
206,-,Alaa Hikal,Alaa Hikal,"Shadi teenager who lives with his father, fails to keep up with one of his colleagues in writing poetry. He served on the theft of a camera after seeing his colleagues are trying to take a picture of him.",19,lonely fighter in the zone,2015
207,-,Rim Mejdi,Rim Mejdi,"The adventure of a woman out of town,in unknown territory meeting strangers.",18,en dehors de la ville,2015
208,-,"['Komla Amenti', 'Préféré Aziaka']",Préféré Aziaka,"Massan has been suffering from stomach pains for a few months. Her husband, a motorcycle taxi driver, cannot afford her medication. In despair, he decides to sell their TV, the only luxury they have.",13,la douloureuse,2015
209,-,Filippos Tsapekis,Filippos Tsapekis,-,-,fragile,2015
210,1.0,"['Chris Mc', 'Donald']","['Chris Mc', 'Donald']","A young man finds out that he has a child on the way, and feels he needs to choose between his circle of friends and his new responsibilities, as he takes time to reflect on the situation. Starring Ed Cavalieri(Credited as Ed Copeland), Sonya Alalibo, Dale McMillan, Jean-Luc Harry and Will Holliday.",3,dilemmas,2015
211,-,Matt Barry,Matt Barry,A traveling salesman contemplates his life while spending a lonely night alone on the road.,12,the salesman,2015
212,-,Ciro Visco,-,-,-,schiavo d'amore,2015
213,-,Georgi Lolov,Georgi Lolov,-,-,beyond the river,2015
214,-,Georgios Soumelidis,"['Stephanie Capetanides', 'Georgios Soumelidis']",Sensitivity fights against logic. Two former agents meet again after a long and troublesome time showing us which will prevail and at what cost.,13,firefly,2015
215,-,Zachary Ayotte,"['Zachary Ayotte', 'Thessalie Laviolette-Brassard']","Fresh out of high school, Antoine enters a music program in college and befriends a good-looking young man who may prove to be a bad influence.",11,lapsus,2015
216,-,"['Karolina Malinowska', 'Karolina Malinowska']",Karolina Malinowska,-,-,sinking,2015
217,-,Behrouz Bagheri,Behrouz Bagheri,-,21,k9,2015
218,-,Jonathan Tinsley,-,-,-,cornered,2015
219,-,Miguel Ángel Muñiz,Miguel Ángel Muñiz,-,8,dudas,2015
220,9.2,Sadri Jemail,-,"Dawn is breaking, a man is reading a letter, a fishing boat comes in from the open sea. A woman searches for a face in a crowded street. A woman gathers clothes, a girl looks for a response. An empty chair. The soft murmur of the waves.",17,un conte contemporain,2015
221,-,Alejandro Iglesias Mendizabal,Alejandro Iglesias Mendizabal,-,-,el humo denso que nos oprime el pecho,2015
222,-,Nishanth Kalidindi,Nishanth Kalidindi,"Dharsh, a stranger in town, figures out when to die.",14,beyond paradise,2015
223,9.0,Sélim Gribâa,Sélim Gribâa,"Hsan, an unemployed man in his fifties, has been looking for work for quite some time, but without success. On his wife's insistence, he decides to go and see Ammar, a local politician, to ask for help. Ammar agrees to find him a job under one condition: that he paints his house purple - the color of the ruling party, adding a splash of color amid the uncertaim of the... Leer todo",30,loun el-barka,2015
224,-,Beru Tessema,"['Napoleon Dozier', 'Beru Tessema']",-,-,verse,2015
225,-,Durmus Sen,Durmus Sen,-,13,kod,2015
226,-,Anna Vialova,-,Two friends meet after a long parting,2,take care,2015
227,-,Josh Herum,-,-,-,a divine coincidence,2015
228,-,Jonatas da Silva,-,-,-,chocolate pudding,2015
229,-,Srdjan Markovic,Srdjan Markovic,-,12,nemoj mi otici,2015
230,-,Srdjan Markovic,"['Srdjan Markovic', 'Danilo Mulina']",-,12,bez emocija,2015
231,8.5,Ismahane Lahmar,Ismahane Lahmar,"Seven artists from different disciplines are kidnapped by unknown soldiers while working on controversial projects. The armed men force them to take an immediate decision about their masterpieces under threat of death. Each one of them deals with his own limits: fear, lack of courage or censorship.",15,kaous kouzah,2015
232,-,Iván López,Iván López,-,12,las tormentas son para el verano,2015
233,-,Hindrek Maasik,-,-,3,tina karol: i still love,2015
234,-,Hindrek Maasik,-,-,-,tina karol: you'll always have time to surrender,2015
235,-,Austin Litt,Arden Jurskis,"Marcus Payne (Salman Sheikh) has only one aspiration: to become Student Body president. As such, he's gone to great lengths to ensure that he's a leg up on his entire competition- outspending them on various campaign materials, and even going insofar as to hire his own campaign manager Scott (Jordan Noriega). In his mind, it seems as though his victory is all but assu... Leer todo",44,student body,2015
236,-,Lauryn Eisenstein,Lauryn Eisenstein,"Lilly a young childhood actress always in the limelight for her acting ability reflects on her multiple mishaps in the entertainment world, as she claims that's what ruined her was the only thing she loved and knew best, which was the limelight. She realizes how much it destroyed her when she loose the limelight, and the fame which destroyed her name and yet she is st... Leer todo",8,lilly,2015
237,-,Nick Azzaro,-,"Wandering through the most elusive thoughts of the mind, feelings and emotions create a magnificent universe of images.",5,wander,2015
238,-,Grant Harvey Dudson,"['Alexander James Daniels', 'Grant Harvey Dudson']",A tale of a stereotypical working class woman who is ready to take her relationship forward into marriage. Tired of waiting for her partner to propose she decides to bite the bullet and propose to him. Her partner doesn't take kindly to this as he feels as though proposing should be the man's job. He deep down isn't ready as he wants to buy her a diamond ring that rep... Leer todo,-,one day,2015
239,-,Damian Zwardon,Damian Zwardon,"The London banker, Maksymilian Feliks, comes to the home-town to continue his late grandfather Albert's work. Unexpectedly, the inherited bake house becomes the turning point in the businessman's life. While discovering the secrets of the past, Maks finds also the beautiful woman and together with her - the feeling which he has been looking for since ever. Finally he ... Leer todo",40,wyznania piekarza,2015
240,-,Marvin Tolentino,Marvin Tolentino,-,15,le port,2015
241,-,"['Victor Diaz', 'Yudelka Heyer']","['Yudelka Heyer', 'Gabrielle Sarrubbo', 'Matthew Stannah']","Tensions are high at the burial of the Charandelli family patriarch. Deep Scars, injustices, and accusations fly until dead silence for the moment they've been anticipating the reading of his will.",9,unfinished bussiness,2015
242,-,Tania Zhelieznikova,Tania Zhelieznikova,"Six years ago Sarah started her family with lies. Feeling guilty, she tries to be ideal wife and mother; however, a fatal diagnosis turns her life upside down. Jimmy is sick with blood cancer. To save him, she must give birth to Jimmy's sibling. However, Jim (Sarah's husband) is not the boy's biological father and he doesn't know about it.",10,do you love me now?,2015
243,-,Nicolas Merlaud,Nicolas Merlaud,-,-,graduating: film admissibles essec,2015
244,-,-,Fray Miguel de Guevara,-,2,no me mueve mi dios para quererte,2015
245,-,Emma Croft,Gabriella Apicella,-,11,honest lies,2015
246,-,Gabriela Ledesma,-,-,-,hate crime,2015
247,-,Jon Stanford,Jon Stanford,"After a catastrophic event, Chicken follows a young couple as they struggle to survive within the forest.",12,chicken,2015
248,-,Shane Ryan-Reid,Shane Ryan-Reid,-,-,nowhere does the sun shine,2015
249,-,Shane Ryan-Reid,Shane Ryan-Reid,-,4,the halloween that we broke,2015
250,-,Victor Luiz,"['Juliana Bonito', 'Henrique Lazary', 'Victor Luiz']","Lis is a 27-year-old woman who lives alone. On an ordinary day, she tries to leave her apartment and fails. Trapped after a while, Lis begins to face a process of self-reflection and has to deal with her internal conflicts.",25,anatta,2015
251,-,Nick Rush,Nick Rush,-,-,a man who fell in love with an island,2015
252,-,Nam Jin Kang,"['Nam Jin Kang', 'Jae Wan Kim']","A man's daily routine, and the importance of perspective.",5,curtains,2015
253,-,Iowa Warning,Iowa Warning,"Stuck in a cycle of routine, a young man tries to change his fate.",13,lucky_,2015
254,-,Antti Rautava,Antti Rautava,"A romantic encounter of a guard and a paintress, who have different opinions about fate and football, but are forced to share the same picturesque Mediterranean view.",7,el mirador,2015
255,-,Maurice D. Walls,Maurice D. Walls,-,3,"no justin, no peace",2015
256,-,Christopher Carvasal,Christopher Carvasal,-,-,nano: perfect melody,2015
257,-,Arno Bausemer,-,-,14,der tod ist ein freundlicher mann,2015
258,-,Edgar Ybarra,Edgar Ybarra,-,15,between me and you,2015
259,-,Samuel Salazar,"['Nicolás Medina', 'Malva Rodríguez']",-,-,gazpacho,2015
260,-,Yorick Van Ska,Yorick Van Ska,-,3,action equals reaction,2015
261,-,Jordy Sank,Jordy Sank,"An Indoctrinated Ss Officer at A Concentration Camp in 1940's Germany, Discovers that The Jewish Girl He Once Loved and Lost Is a Prisoner There. He Is Forced to Question Everything He Has Been Led to Believe, Culminating in A Critical Choice: To Break Ranks and Risk His Life in Trying to Save Her or Forever Live with Guilt, Shame and Loss.",12,the locket,2015
262,-,Malou Schultzberg,Lotta Lättström,-,-,godmodern,2015
263,-,David Rodes,David Rodes,-,-,ceos/phoebe,2015
264,-,"['Victor Dupuis', 'Sophie Venecia Reyes']",Sophie Venecia Reyes,-,-,a fleur de peau,2015
265,-,Liza Rachenko,-,-,-,escape,2015
266,-,Nejma Zghidi,-,"Qmar, a young blind woman, is embroiled in an election fraud operation, she lets herself to be dragged into it until she decides to denounce it. The group of fraudsters does not hesitate to react violently and kidnap her.",10,chtar 50,2015
267,-,Simone D'Angelo,Simone D'Angelo,-,-,sudèst,2015
268,-,Simone D'Angelo,Simone D'Angelo,-,-,metamorphosis,2015
269,-,Amed Korkmaz,Amed Korkmaz,-,13,araf,2015
270,-,"['Alessandra Chillaron', 'Ychaï Gassenbauer']",Ychaï Gassenbauer,-,14,"light my fire, tel aviv",2015
271,-,Gabriele Rossi,"['Audrey H. Machowsky', 'Gabriele Rossi']","Cinematographic adaptation of the play by August Strindberg, The Pelican (1907). This mysterious and tragical play, in closed space, deals with the collapse of the ideal family model. It follows Elise, a manipulative mother with personality disorders, and her children Fredrik and Gerda who have to fight their mutual distrust to support the dark reality that surrounds ... Leer todo",18,le pélican,2015
272,9.1,Devansh Srivastava,-,A frustated man's tragic journey of vengeance against everyone who bullied and beated him up throughout his life. When a common man living in a hostile society reaches his breaking point and decides to revisit his past to take on his enemies and how his actions decide his fate.,21,ek din,2015
273,-,Miguel Guerrero,Miguel Guerrero,-,-,aislados,2015
274,-,Tamika R. Guishard,Tamika R. Guishard,-,-,in vivo,2015
275,-,Christopher Jayawardena,Christopher Jayawardena,A soul collector for the underworld finds signs of changes in her management after her latest job.,13,repossession,2015
276,-,Tom Vogel,-,-,-,why did she stay?,2015
277,-,Diaz Renne,"['Lina Barrera', 'Lorena Pinzon']",-,-,inmersos,2015
278,-,James Bacskay,James Bacskay,"An unfortunate tale of two old friends, who meet together for the first time after years apart. Though cut from the same cloth, they've since walked different paths, resulting in a final confrontation where only one can walk away.",6,a sorry business,2015
279,-,Seo-Hyun Yoon,Seo-Hyun Yoon,-,18,eunhee,2015
280,-,Casey Nicholas Price,-,Blanche talks to her sister Stella about her crazy husband after a night of partying in a scene adaption of the original story\film.,-,a streetcar named desire,2015
281,-,Michaël d'Auzon,Michaël d'Auzon,-,14,le photographe,2015
282,-,Alessandro Guida,"['Dario Corallo', 'Alessandro Guida']",-,-,mai una gioia,2015
283,-,Luke Williams Fierro,Luke Williams Fierro,A man's epiphany and what it means for his life. Arizona State Film Festival's Best Performance.,-,the last walk,2015
284,-,Anna Äärelä,Anna Äärelä,-,14,drowning daylight,2015
285,-,Meilani Wenska,Meilani Wenska,-,3,meditation,2015
286,-,Melissa Marquez,Melissa Marquez,A musical short about a young Latina who dreams about becoming a Latin ballroom dancer.,-,dream,2015
287,-,Bryan E. Murphy,Bryan E. Murphy,"A day in the life of a foreign newcomer, as he explores his new hometown, reveals that true human communication lies beyond any language.",7,fish climbing trees,2015
288,-,Junyao Zhang,-,-,28,immortal,2015
289,-,Shahrukh Sayyed,"['Rajshree Bobade', 'Pradnya Darveshkar', 'Akshay Patil']",-,-,bandhan,2015
290,-,Chris Abel,Chris Abel,-,1,the commander,2015
291,-,Nirmal Baby Varghese,-,-,-,belated sms,2015
292,-,Mohsen Najafi Mehri,Zahra Ebrahimi,"A young girl ""Sara"" in the high school lost her mobile phone. Bringing mobile is forbidden in high school's, so she searching for it with her friend's ""Paniz"" . Paniz call to Sara's phone with her mobile. Teacher see's them so take the phone from Sara and take both of them out of classroom but they understand more important things.",9,vibrate,2015
