puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
5.9,Hugo Santiago,"['Santiago Amigorena', 'Ross Macdonald', 'Hugo Santiago']","A detective thriller about a private eye, who was hired by one of the gangsters.",132,Drama,le loup de la côte ouest,2002
7.3,Adam Shankman,"['Nicholas Sparks', 'Karen Janszen']",-,101,Drama,a walk to remember,2002
6.4,"['Jonathan Foo', 'Phan Quang Binh Nguyen']","['Wayne Karlin', 'Duy Tom Nguyen', 'Quang Sang Nguyen']",A story about young men who had to go war to protest their country. Each of them has his own story.,111,Drama,vu khúc con cò,2002
6.5,Neil Jordan,"['Auguste Le Breton', 'Jean-Pierre Melville', 'Neil Jordan']",-,109,Drama,the good thief,2002
4.4,Sam Firstenberg,"['Steve Schoenberg', 'Ruben Gordon']","Randi Stewart is a sergeant on a marine base where her father is the commanding officer. She is being treated by the new base psychiatrist, Bill Turner. Her brother, Gordon Stewart is running for political office. General Stewart is murdered and Randi is the key suspect. Once Bill starts investigating the crime through his treatment of Randi, he begins to uncover an u... Leer todo",92,Drama,quicksand,2002
5.5,Ken Sanzel,Ken Sanzel,An actor in a Wild West show must become a mythical Western Hero when a biker gang descends upon a small Montana town.,90,Drama,lone hero,2002
6.4,Olivier Marchal,Olivier Marchal,"Franck Chaievski and Nina Delgado are two undercover detectives of a French special force trying to identify two corrupts members of the Paris Police Force. Franck is pretending to be a gangster and Nina a prostitute living with him, and involved in a robbery of a fortune in diamonds, having seven deaths and some injured persons.",90,Drama,gangsters,2002
3.6,Dasari Narayana Rao,Dasari Narayana Rao,-,-,Drama,kondaveeti simhasanam,2002
5.2,Laetitia Masson,"['Didier Daeninckx', 'Laetitia Masson']","When an indistinct woman named Charlotte leaves a train station in hopes of changing her life forever, she's followed by a mysterious stranger with ill intentions.",125,Drama,la repentie,2002
5.1,Peter Masterson,Jay Sweet,"Finding his only escape in music, Gil Blackwell (Broken English's Josh Hamilton) decides to leave his monotonous business life in Boston when his cousin dies in a car accident. Gil ignores his father's disapproval and hits the road in the family's antique truck for the promised land of California. On the way a chance encounter reunites him with an old college flame, G... Leer todo",79,Drama,west of here,2002
6.9,Todd Louiso,Gordy Hoffman,"Following the unexplained suicide of his wife Liza, a web designer turns to gasoline fumes and remote-control airplanes while avoiding an inevitable conflict with his mother-in-law.",90,Drama,love liza,2002
5.9,Glen Pitre,"['Michelle Benoit', 'Glen Pitre']","Already an outcast for crimes she did not commit, a woman struggling to raise her two children in a small village during World War II is suspected of being a saboteur.",95,Drama,the scoundrel's wife,2002
