,0
974,Mikhail Khomyakov
975,Rich Skidmore
976,Inga Sarri
977,Jason Bell
978,Anant Jog
979,Brett Fancy
980,Roberto Birindelli
981,Christian Fletcher
982,Dylan Hobbs
983,Chris Boykin
984,Eddie Alfano
985,Oh Dal Soo
986,Sean Jackson
987,Jim Broadbent
988,Dionne Gipson
989,Joey Lanai
990,Ricardo Esquerra
991,Hyun-tak Shin
992,Tony D'Amario
993,Daniel Booko
994,Masaya Katô
995,Tad Hilgenbrink
996,Maya Ferrara
997,Larenz Tate
998,Abhay Bhargava
999,David Wenham
1000,Stuart Devenie
1001,Jean Naughton
1002,Blerim Destani
1003,Scotch Ellis Loring
1004,Johnny Meres
1005,Eva Green
1006,Clancy Brown
1007,Ting Yip Ng
1008,Branko Djuric
1009,Kazuya Nomura
1010,Laouni Mouhid
1011,Marcel Gabbett
1012,Commissioner Pratap Singh
1013,Sener Sen
1014,Chet Anekwe
1015,Prithvi Zutshi
1016,Tim Matheson
1017,Paolo Paraiso
1018,Meadow Williams
1019,Linh-Dan Pham
1020,Steve Hinshaw
1021,Shirly Brener
1022,Jordan Garrett
1023,Zane Bond
1024,Espen Klouman Høiner
1025,Tamer Karadagli
1026,Cisco Reyes
1027,Jagadish
1028,Hidekazu Mashima
1029,Matthias Schweighöfer
1030,Guenia Lemos
1031,Tim Malloy
1032,Martin F. Glynn
1033,Kaan Çakir
1034,Christina Abigail Garcia
1035,Rolf Degerlund
1036,Donald Sutherland
1037,Iris Brey
1038,Ryan Grant
1039,Sôsuke Takaoka
1040,Rajan P. Dev
1041,Thomas J. O'Connor Jr.
1042,Freddie Milligan
1043,Jason Morris
1044,Tho Hanudomlad
1045,Arthur Holden
1046,Steve Zahn
1047,Joseph Quek
1048,Stirling Everly
1049,Tony Brown
1050,Kurofuji
1051,Kolya Rastorguev
1052,David D. Ford
1053,Andrea Osvárt
1054,Shun Oguri
1055,Stephanie Parrott
1056,David Garcia
1057,Craig Conway
1058,Dawued Saleh
1059,Rawiri Paratene
1060,Michael Adam Hamilton
1061,Cory Knisely
1062,Nate Jensen
1063,Charmaine Fong
1064,Sheree J. Wilson
1065,R. Kan Albay
1066,David Leong
1067,Anant Boonnark
1068,Matthew R. Anderson
1069,Mike Albano
1070,Sunny Mabrey
1071,Tim Pigott-Smith
1072,Günther Kaufmann
1073,Vishwanatha
1074,Luis Deveze
1075,Kim Morgan Greene
1076,Lola
1077,Sohail Khan
1078,Ammulu
1079,Paul Mercier
1080,Maggie Siu
1081,Zulfi Sayed
1082,Mura
1083,Christianny Lima
1084,Kevin VanHentenryck
1085,Raymond T. Williams
1086,Suwanun Kongying
1087,Rio Alexander
1088,Carlie Westerman
1089,Dimitris Alexandris
1090,Michel B. Dupérial
1091,Magda El-Khatib
1092,Chetan Pandit
1093,Masami Nagasawa
1094,Ole Thestrup
