,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
113,4.6,Christo Garcia,Christo Garcia,"It's the 1970's...disco, big hair, bell bottoms, and the internet is still in it's infancy. This is the story of how Morpheus became the one...who would find...the one.",35,that 70's matrix,2001
114,5.7,Torbjörn Berg,Torbjörn Berg,-,10,förhöret,2001
115,5.9,Matthew J. Pellowski,Matthew J. Pellowski,"After an innocent man is released from prison for a crime he did not commit, he seeks out the people he believes responsible for his destiny's unfortunate path...under the impression that he is dieing of a disease due to a disturbing experience in jail, Murphy Berserk decides to no longer be the ""forced"" one in his life, but the ""enforcer."" He takes the advice of his ... Leer todo",-,forsaken,2001
116,2.8,Zack Resnicoff,Zack Resnicoff,-,-,the clearing,2001
117,-,"['Nicolas Douste', 'Thierry Espasa']","['Nicolas Douste', 'Thierry Espasa']",-,6,y2 the game,2001
118,7.7,"['Raul Allikivi', 'Kaaren Kaer', 'Andres Korberg']","['Raul Allikivi', 'Kaaren Kaer', 'Andres Korberg']",An intrepid (but simple) knight embarks on a quest to save innocent virgins and discovers a Great Evil has been unleashed in a nearby monastery.,32,tapja õllejogurti rünnak,2001
119,-,Phil Turner,Phil Turner,-,10,bahama mama,2001
120,2.8,Tony Laudati,Tony Laudati,"Slim muscular women, with bare midriffs, demonstrate kuo shu martial arts, fighting with long sticks in front of sleazy rich men. It's an art performed as entertainment; but, when violence breaks out within the troupe, Tyler (the best fighter) leaves. After the death of the troupe's master, the dish-water blond Tyler returns to face honey-blond Morgan, whom Tyler susp... Leer todo",6,chicks with sticks,2001
121,7.4,David O. Rogers,David O. Rogers,"Space weary Averson is sick of Captain Kirk, the Enterprise, and especially the damn redshirt he must wear everyday. While on patrol, he meets Leeds, another Redshirt on his first assignment. Averson must tell Leeds the awful truth: The Redshirts die first. But Leeds may have to learn that the hard way.",9,redshirt blues,2001
122,4.5,"['Julien Lacombe', 'Pascal Sid']","['Julien Lacombe', 'H.P. Lovecraft']",An archaeological excavation uncovers a manuscript written by a Roman commander in Gaul. Most of the local tribes have been pacified but every year terrible hill people ravage the area. The Romans set out to crush them.,14,le peuple ancien,2001
123,5.2,Ross Boyask,Ross Boyask,"Evil druglord Brigman wants a test subject for his new performance-enhancing drug ""Deadly Jade"" so he kidnaps Danny, an expert martial artist. Unfortunately Brigman's crazy second-in-command Eddie kills Danny's girlfriend, sending Danny into a rage. He tries to escape but Brigman force-feeds him an overdose of Deadly Jade, sending Danny's combat potential into overdri... Leer todo",-,pure vengeance,2001
124,-,Mun Chee Yong,Mun Chee Yong,"Keong doesn't talk much, to anyone. His only friends are his goldfish and his television, which is fine with him until one day a pretty girl and two bullies walk into his life.",5,keong,2001
125,6.3,Dennis Lanson,"['Norman Lesperance', 'Tony Montana']",A Vietnam veteran is haunted by the death of his best friend on the battlefield until a salesman enters his home - offering him deal.,17,3am eternal,2001
126,8.1,"['Thomas Romain', 'Savin Yeatman-Eiffel']",Savin Yeatman-Eiffel,"Molly, Star-Racers is the award winning pilot film for the series ""Oban Star-Racers"", which was released by Sav! The World Productions 5 years later.",2,"molly, star-racer",2001
127,8.1,Will Canon,Will Canon,-,8,roslyn,2001
128,-,Christine Crokos,Christine Crokos,-,9,heroine helen,2001
129,7.0,Takahiro Imamura,"['Akiyoshi Hongo', 'Reiko Yoshida', 'Jeff Nimoy']",Diaboromon is back and is planning another invasion upon the Real World.,30,dejimon adobenchâ 02: diaboromon no gyakushû,2001
130,-,"['Ali Mirza', 'Atif Ali Mirza']","['Ali Mirza', 'Atif Ali Mirza']",-,13,a new life,2001
131,-,Paul Miller,Paul Miller,A cat and mouse game of speed and skill between a mysterious woman driver and a Drifter.,16,the taste of victory,2001
132,-,Marcel Belledin,Marcel Belledin,-,4,legolomo die 3te,2001
133,-,Rich Drezen,Rich Drezen,"The leaders of the violent hate group, The Shaved Taylor Mafia, are in for a rude - and equally violent - awakening from a grotesque creature known as Luckyzilla.",17,when the doberman calls,2001
134,-,Darin Mangan,Darin Mangan,-,-,time of death,2001
135,8.4,"['Tania Palumbo', 'Thomas Romain']","['Carlo De Boutiny', 'Tania Palumbo', 'Thomas Romain']","The original short pilot episode for what would later become Código Lyoko (2003). A group of kids whose adventures take place in the real world but also in a parallel and virtual world, Xanadu. A boy of about twelve, Odd, arrives one day in his new neighborhood and quickly understands that his three new friends are gifted with extraordinary abilities of their own.",5,garage kids,2001
