,0,1,2
731,Spot,2001,
732,The Search for John Gissing,2001,89
733,Evolution,2001,44
734,Der Schuh des Manitu,2001,
735,Vakvagányok,2001,
736,Stickmen,2001,87
737,Honolulu Baby,2001,
738,Magic Rock,2001,57
739,High Heels and Low Lifes,2001,20
740,Thank Heaven,2001,
741,One Leg Kicking,2001,40
742,Mademoiselle,2001,33
743,Teddy Bears' Picnic,2001,0
744,Series 7: The Contenders,2001,
745,All Over the Guy,2001,43
746,The Brothers,2001,63
747,Late Night Shopping,2001,67
748,Almost Salinas,2001,20
749,Double Whammy,2001,30
750,Buffalo Soldiers,2001,73
751,All the Queen's Men,2001,7
752,Corky Romano,2001,7
753,Le vélo de Ghislain Lambert,2001,
754,American Pie 2,2001,50
755,My Best Friend's Wife,2001,
756,CQ,2001,66
757,On appelle ça... le printemps,2001,
758,Lansdown,2001,38
759,Negocio Redondo,2001,
760,Tortilla Soup,2001,75
761,Daun Haus,2001,
762,Dog Eat Dog,2001,50
763,Every Seven Minutes,2001,
764,The Martins,2001,52
765,Cubbyhouse,2001,15
766,Out Cold,2001,8
767,Todo me pasa a mí,2001,
768,The Anniversary Party,2001,61
769,Terrorama!,2001,
770,The Curse of the Jade Scorpion,2001,45
771,The Triumph of Love,2001,
772,Last Wedding,2001,83
773,Ce vieux rêve qui bouge,2001,
774,Scary Movie 2,2001,14
775,Olive Juice,2001,70
776,Pauline & Paulette,2001,
777,Liberté-Oléron,2001,
778,The Animal,2001,30
779,Die Gottesanbeterin,2001,
780,Üvegtigris,2001,
781,Liars Club,2001,
782,Road to Redemption,2001,62
783,Emil und die Detektive,2001,
784,Chori Chori Chupke Chupke,2001,
785,Shallow Hal,2001,49
786,Torrente 2: Misión en Marbella,2001,
787,Being Light,2001,
788,Mädchen Mädchen!,2001,
789,Pootie Tang,2001,27
790,Bubble Boy,2001,31
791,Erotic Survivor,2001,44
792,Du soleil pour les gueux,2001,
793,Monas verden,2001,
794,Lovely & Amazing,2001,86
795,Mari del sud,2001,
796,Nebraska Supersonic,2001,
797,La tour Montparnasse infernale,2001,
798,Se fossi in te,2001,
799,Du pic au coeur,2001,
800,Lammbock,2001,80
801,Hou niao,2001,
802,Grégoire Moulin contre l'humanité,2001,
803,The Rest of Your Life,2001,
804,Mullet,2001,43
805,Jackpot,2001,29
806,La boîte,2001,
807,Corazón de bombón,2001,
808,Dirt,2001,-
809,Face to Face,2001,
810,Podari mne lunnyy svet,2001,
811,Black Days,2001,
812,"Yady, ili vsemirnaya istoriya otravleniy",2001,
813,Gamer,2001,29
814,Prikhodi na menya posmotret,2001,
815,Z pekla stestí 2,2001,
816,Jay and Silent Bob Strike Back,2001,52
817,La forteresse suspendue,2001,
818,Big Bad Love,2001,42
819,Going Greek,2001,66
820,Black Knight,2001,15
